Created as New Dataset,Sample 114 By Administrator Date Thursday, July 30 2020
cm-1,A,
1904,0.0987,
1902,0.0994,
1900,0.1006,
1898,0.1022,
1896,0.1036,
1894,0.1049,
1892,0.1062,
1890,0.1084,
1888,0.1127,
1886,0.1164,
1884,0.1185,
1882,0.1207,
1880,0.1253,
1878,0.1335,
1876,0.1435,
1874,0.1521,
1872,0.1564,
1870,0.1552,
1868,0.1479,
1866,0.1368,
1864,0.1257,
1862,0.1176,
1860,0.1123,
1858,0.1091,
1856,0.1069,
1854,0.1054,
1852,0.1044,
1850,0.1037,
1848,0.1039,
1846,0.1046,
1844,0.1067,
1842,0.1111,
1840,0.1147,
1838,0.1187,
1836,0.122,
1834,0.1233,
1832,0.1225,
1830,0.12,
1828,0.1177,
1826,0.1147,
1824,0.1124,
1822,0.11,
1820,0.1074,
1818,0.1059,
1816,0.1049,
1814,0.1038,
1812,0.1024,
1810,0.1013,
1808,0.1005,
1806,0.1,
1804,0.0998,
1802,0.0999,
1800,0.1006,
1798,0.1011,
1796,0.1022,
1794,0.1038,
1792,0.1063,
1790,0.1093,
1788,0.11,
1786,0.1103,
1784,0.1137,
1782,0.1222,
1780,0.1395,
1778,0.1577,
1776,0.1595,
1774,0.1449,
1772,0.1254,
1770,0.1132,
1768,0.1076,
1766,0.105,
1764,0.1017,
1762,0.099,
1760,0.098,
1758,0.0964,
1756,0.096,
1754,0.096,
1752,0.0952,
1750,0.0955,
1748,0.0953,
1746,0.0958,
1744,0.0974,
1742,0.0994,
1740,0.101,
1738,0.1034,
1736,0.104,
1734,0.104,
1732,0.1044,
1730,0.1019,
1728,0.1013,
1726,0.1007,
1724,0.0998,
1722,0.0995,
1720,0.0987,
1718,0.0977,
1716,0.0976,
1714,0.0981,
1712,0.0994,
1710,0.1004,
1708,0.1014,
1706,0.1019,
1704,0.1038,
1702,0.1051,
1700,0.1076,
1698,0.1107,
1696,0.1126,
1694,0.1219,
1692,0.1285,
1690,0.1346,
1688,0.1397,
1686,0.1415,
1684,0.1427,
1682,0.1429,
1680,0.1377,
1678,0.1316,
1676,0.1247,
1674,0.1193,
1672,0.115,
1670,0.1115,
1668,0.1109,
1666,0.1109,
1664,0.1102,
1662,0.11,
1660,0.1103,
1658,0.1101,
1656,0.1104,
1654,0.1105,
1652,0.114,
1650,0.1177,
1648,0.1197,
1646,0.1225,
1644,0.1231,
1642,0.1216,
1640,0.1202,
1638,0.1176,
1636,0.1133,
1634,0.1107,
1632,0.1095,
1630,0.1079,
1628,0.1065,
1626,0.105,
1624,0.1035,
1622,0.1029,
1620,0.1027,
1618,0.1018,
1616,0.1013,
1614,0.1018,
1612,0.1023,
1610,0.1033,
1608,0.1038,
1606,0.1044,
1604,0.1053,
1602,0.1065,
1600,0.1083,
1598,0.1105,
1596,0.1127,
1594,0.1145,
1592,0.1162,
1590,0.1176,
1588,0.1188,
1586,0.1193,
1584,0.119,
1582,0.1178,
1580,0.1164,
1578,0.1143,
1576,0.1121,
1574,0.1115,
1572,0.1109,
1570,0.1105,
1568,0.1109,
1566,0.1109,
1564,0.1118,
1562,0.1124,
1560,0.1127,
1558,0.1124,
1556,0.1143,
1554,0.1166,
1552,0.1202,
1550,0.1223,
1548,0.1257,
1546,0.128,
1544,0.1324,
1542,0.1366,
1540,0.143,
1538,0.1527,
1536,0.1576,
1534,0.1578,
1532,0.1572,
1530,0.1558,
1528,0.1555,
1526,0.1568,
1524,0.159,
1522,0.1613,
1520,0.168,
1518,0.1736,
1516,0.1818,
1514,0.1913,
1512,0.2016,
1510,0.2124,
1508,0.2237,
1506,0.2381,
1504,0.2501,
1502,0.2555,
1500,0.2628,
1498,0.2705,
1496,0.2821,
1494,0.2946,
1492,0.3075,
1490,0.3254,
1488,0.3485,
1486,0.3721,
1484,0.3989,
1482,0.4293,
1480,0.4673,
1478,0.5084,
1476,0.5609,
1474,0.6234,
1472,0.7157,
1470,0.8201,
1468,0.9321,
1466,1.0763,
1464,1.2939,
1462,1.5481,
1460,1.8637,
1458,2.2993,
1456,2.9211,
1454,2.9669,
1452,2.8854,
1450,2.9796,
1448,2.8913,
1446,3.0104,
1444,2.9821,
1442,2.879,
1440,2.3007,
1438,1.7864,
1436,1.3925,
1434,1.147,
1432,0.9809,
1430,0.8432,
1428,0.7399,
1426,0.665,
1424,0.6034,
1422,0.555,
1420,0.5129,
1418,0.4701,
1416,0.4358,
1414,0.4067,
1412,0.381,
1410,0.359,
1408,0.3404,
1406,0.3244,
1404,0.3104,
1402,0.2995,
1400,0.2899,
1398,0.2813,
1396,0.2725,
1394,0.2636,
1392,0.2553,
1390,0.248,
1388,0.2419,
1386,0.2373,
1384,0.2329,
1382,0.2299,
1380,0.2278,
1378,0.2266,
1376,0.2255,
1374,0.2253,
1372,0.2265,
1370,0.2284,
1368,0.2314,
1366,0.2356,
1364,0.2407,
