Wavenumber (cm-1),% Transmittance
3588.72633,0.67016
3588.24416,0.68676
3587.762,0.67827
3587.27984,0.66516
3586.79768,0.67649
3586.31552,0.69585
3585.83336,0.70094
3585.3512,0.70614
3584.86904,0.72086
3584.38687,0.7265
3583.90471,0.71811
3583.42255,0.71679
3582.94039,0.72901
3582.45823,0.73602
3581.97607,0.73057
3581.49391,0.72771
3581.01174,0.73346
3580.52958,0.73557
3580.04742,0.73011
3579.56526,0.72932
3579.0831,0.73745
3578.60094,0.74238
3578.11878,0.73718
3577.63662,0.73198
3577.15445,0.73563
3576.67229,0.74097
3576.19013,0.7393
3575.70797,0.73516
3575.22581,0.73617
3574.74365,0.73969
3574.26149,0.73933
3573.77933,0.737
3573.29716,0.73854
3572.815,0.74259
3572.33284,0.74321
3571.85068,0.73992
3571.36852,0.73769
3570.88636,0.73901
3570.4042,0.74057
3569.92204,0.73788
3569.43987,0.7289
3568.95771,0.71466
3568.47555,0.70406
3567.99339,0.70366
3567.51123,0.70474
3567.02907,0.70255
3566.54691,0.70374
3566.06475,0.71095
3565.58258,0.72064
3565.10042,0.72856
3564.61826,0.73209
3564.1361,0.73252
3563.65394,0.73287
3563.17178,0.73395
3562.68962,0.73564
3562.20746,0.73801
3561.72529,0.73907
3561.24313,0.73698
3560.76097,0.73396
3560.27881,0.73398
3559.79665,0.73646
3559.31449,0.73817
3558.83233,0.73904
3558.35017,0.73973
3557.868,0.73931
3557.38584,0.73834
3556.90368,0.73853
3556.42152,0.73954
3555.93936,0.73989
3555.4572,0.73947
3554.97504,0.7385
3554.49288,0.73675
3554.01071,0.73503
3553.52855,0.73336
3553.04639,0.72999
3552.56423,0.72684
3552.08207,0.72807
3551.59991,0.73223
3551.11775,0.73544
3550.63559,0.73687
3550.15342,0.73721
3549.67126,0.73668
3549.1891,0.73546
3548.70694,0.73401
3548.22478,0.73091
3547.74262,0.72528
3547.26046,0.72231
3546.77829,0.72499
3546.29613,0.72689
3545.81397,0.72491
3545.33181,0.7242
3544.84965,0.72655
3544.36749,0.72871
3543.88533,0.72977
3543.40317,0.73109
3542.921,0.73283
3542.43884,0.73396
3541.95668,0.73418
3541.47452,0.734
3540.99236,0.73373
3540.5102,0.73343
3540.02804,0.73308
3539.54588,0.73268
3539.06371,0.73254
3538.58155,0.73253
3538.09939,0.73204
3537.61723,0.73053
3537.13507,0.72811
3536.65291,0.72653
3536.17075,0.72724
3535.68859,0.7289
3535.20642,0.72993
3534.72426,0.73034
3534.2421,0.73029
3533.75994,0.72989
3533.27778,0.72956
3532.79562,0.72928
3532.31346,0.72847
3531.8313,0.72705
3531.34913,0.72587
3530.86697,0.72557
3530.38481,0.72503
3529.90265,0.72276
3529.42049,0.7203
3528.93833,0.71985
3528.45617,0.72004
3527.97401,0.71896
3527.49184,0.71794
3527.00968,0.71869
3526.52752,0.71978
3526.04536,0.72002
3525.5632,0.72025
3525.08104,0.72032
3524.59888,0.71972
3524.11672,0.71852
3523.63455,0.71659
3523.15239,0.7155
3522.67023,0.71685
3522.18807,0.71916
3521.70591,0.72071
3521.22375,0.72141
3520.74159,0.72138
3520.25943,0.72064
3519.77726,0.71959
3519.2951,0.71892
3518.81294,0.71887
3518.33078,0.71903
3517.84862,0.71914
3517.36646,0.71912
3516.8843,0.71892
3516.40213,0.71874
3515.91997,0.71863
3515.43781,0.7184
3514.95565,0.71823
3514.47349,0.71833
3513.99133,0.71819
3513.50917,0.71749
3513.02701,0.71666
3512.54484,0.71576
3512.06268,0.71469
3511.58052,0.71399
3511.09836,0.71355
3510.6162,0.71174
3510.13404,0.70847
3509.65188,0.70679
3509.16972,0.70823
3508.68755,0.71063
3508.20539,0.71214
3507.72323,0.71278
3507.24107,0.71285
3506.75891,0.71246
3506.27675,0.71179
3505.79459,0.71078
3505.31243,0.70925
3504.83026,0.70765
3504.3481,0.70588
3503.86594,0.70386
3503.38378,0.70328
3502.90162,0.70473
3502.41946,0.70632
3501.9373,0.70712
3501.45514,0.7077
3500.97297,0.70816
3500.49081,0.70825
3500.00865,0.70825
3499.52649,0.70841
3499.04433,0.70854
3498.56217,0.70852
3498.08001,0.7082
3497.59785,0.70701
3497.11568,0.70541
3496.63352,0.70469
3496.15136,0.70465
3495.6692,0.70454
3495.18704,0.70476
3494.70488,0.70531
3494.22272,0.70549
3493.74056,0.70528
3493.25839,0.70503
3492.77623,0.70481
3492.29407,0.70446
3491.81191,0.70394
3491.32975,0.70349
3490.84759,0.70328
3490.36543,0.70322
3489.88327,0.70301
3489.4011,0.70211
3488.91894,0.70023
3488.43678,0.69876
3487.95462,0.69908
3487.47246,0.70026
3486.9903,0.70088
3486.50814,0.70083
3486.02597,0.70048
3485.54381,0.70006
3485.06165,0.69965
3484.57949,0.69928
3484.09733,0.69894
3483.61517,0.69796
3483.13301,0.69571
3482.65085,0.69364
3482.16868,0.69366
3481.68652,0.69466
3481.20436,0.69515
3480.7222,0.69587
3480.24004,0.69703
