Wavenumber (cm-1),% Transmittance
3517.2994,0.83903
3516.81725,0.83956
3516.33509,0.83984
3515.85294,0.83992
3515.37079,0.83995
3514.88864,0.83998
3514.40649,0.83999
3513.92433,0.83967
3513.44218,0.83897
3512.96003,0.83822
3512.47788,0.83737
3511.99573,0.83643
3511.51357,0.83596
3511.03142,0.83551
3510.54927,0.83303
3510.06712,0.82846
3509.58496,0.82617
3509.10281,0.82864
3508.62066,0.83277
3508.13851,0.83565
3507.65636,0.83698
3507.1742,0.83736
3506.69205,0.83719
3506.2099,0.83655
3505.72775,0.83517
3505.2456,0.83303
3504.76344,0.83097
3504.28129,0.82865
3503.79914,0.82563
3503.31699,0.82439
3502.83484,0.82629
3502.35268,0.82882
3501.87053,0.8306
3501.38838,0.83239
3500.90623,0.834
3500.42408,0.83469
3499.94192,0.83501
3499.45977,0.83567
3498.97762,0.83628
3498.49547,0.8365
3498.01331,0.83615
3497.53116,0.83451
3497.04901,0.83234
3496.56686,0.83169
3496.08471,0.83225
3495.60255,0.8327
3495.1204,0.83347
3494.63825,0.83452
3494.1561,0.83487
3493.67395,0.83474
3493.19179,0.83475
3492.70964,0.83479
3492.22749,0.83465
3491.74534,0.83427
3491.26319,0.83383
3490.78103,0.83368
3490.29888,0.83384
3489.81673,0.83379
3489.33458,0.83256
3488.85243,0.82991
3488.37027,0.82807
3487.88812,0.82898
3487.40597,0.83092
3486.92382,0.83184
3486.44167,0.83186
3485.95951,0.83166
3485.47736,0.83159
3484.99521,0.83162
3484.51306,0.83161
3484.0309,0.8315
3483.54875,0.83029
3483.0666,0.82701
3482.58445,0.824
3482.1023,0.82432
3481.62014,0.82614
3481.13799,0.82701
3480.65584,0.82808
3480.17369,0.82988
3479.69154,0.83114
3479.20938,0.83141
3478.72723,0.83126
3478.24508,0.83104
3477.76293,0.83088
3477.28078,0.83071
3476.79862,0.83046
3476.31647,0.82992
3475.83432,0.82882
3475.35217,0.82765
3474.87002,0.82756
3474.38786,0.82834
3473.90571,0.82892
3473.42356,0.82914
3472.94141,0.82927
3472.45925,0.8293
3471.9771,0.82934
3471.49495,0.82931
3471.0128,0.82921
3470.53065,0.82942
3470.04849,0.83004
3469.56634,0.83049
3469.08419,0.83035
3468.60204,0.82981
3468.11989,0.82902
3467.63773,0.82801
3467.15558,0.82735
3466.67343,0.82755
3466.19128,0.82804
3465.70913,0.8282
3465.22697,0.82817
3464.74482,0.82823
3464.26267,0.8281
3463.78052,0.82717
3463.29837,0.82556
3462.81621,0.82462
3462.33406,0.82483
3461.85191,0.82537
3461.36976,0.82596
3460.8876,0.82675
3460.40545,0.8275
3459.9233,0.82785
3459.44115,0.82757
3458.959,0.82707
3458.47684,0.82693
3457.99469,0.82708
3457.51254,0.82722
3457.03039,0.82718
3456.54824,0.82694
3456.06608,0.82677
3455.58393,0.82685
3455.10178,0.82702
3454.61963,0.82716
3454.13748,0.82724
3453.65532,0.82721
3453.17317,0.82712
3452.69102,0.82704
3452.20887,0.82696
3451.72672,0.82689
3451.24456,0.82685
3450.76241,0.82679
3450.28026,0.82666
3449.79811,0.82638
3449.31596,0.82575
3448.8338,0.8247
3448.35165,0.82227
3447.8695,0.81765
3447.38735,0.81429
3446.90519,0.81607
3446.42304,0.82017
3445.94089,0.82256
3445.45874,0.82341
3444.97659,0.82408
3444.49443,0.82463
3444.01228,0.82443
3443.53013,0.82304
3443.04798,0.8211
