cm-1,A
3446.42304,0.12079
3445.94089,0.12164
3445.45874,0.12198
3444.97659,0.12223
3444.49443,0.12246
3444.01228,0.12249
3443.53013,0.12219
3443.04798,0.1217
3442.56583,0.12159
3442.08367,0.12202
3441.60152,0.12254
3441.11937,0.12284
3440.63722,0.123
3440.15507,0.12311
3439.67291,0.12319
3439.19076,0.12324
3438.70861,0.12329
3438.22646,0.12338
3437.74431,0.12351
3437.26215,0.12361
3436.78,0.12366
3436.29785,0.12371
3435.8157,0.12383
3435.33354,0.12398
3434.85139,0.1241
3434.36924,0.12416
3433.88709,0.12416
3433.40494,0.12414
3432.92278,0.12417
3432.44063,0.12425
3431.95848,0.12426
3431.47633,0.12424
3430.99418,0.12435
3430.51202,0.1246
3430.02987,0.1248
3429.54772,0.12492
3429.06557,0.12496
3428.58342,0.12496
3428.10126,0.12498
3427.61911,0.12509
3427.13696,0.12523
3426.65481,0.12537
3426.17266,0.12548
3425.6905,0.12558
3425.20835,0.12566
3424.7262,0.12571
3424.24405,0.12572
3423.7619,0.12567
3423.27974,0.1256
3422.79759,0.12548
3422.31544,0.12538
3421.83329,0.12532
3421.35113,0.1251
3420.86898,0.1248
3420.38683,0.12491
3419.90468,0.12546
3419.42253,0.12601
3418.94037,0.12636
3418.45822,0.12658
3417.97607,0.12673
3417.49392,0.12684
3417.01177,0.12694
3416.52961,0.12703
3416.04746,0.12711
3415.56531,0.12718
3415.08316,0.12726
3414.60101,0.12733
3414.11885,0.12737
3413.6367,0.12741
3413.15455,0.12748
3412.6724,0.12758
3412.19025,0.12766
3411.70809,0.12773
3411.22594,0.12781
3410.74379,0.12787
3410.26164,0.12793
3409.77948,0.128
3409.29733,0.12806
3408.81518,0.12813
3408.33303,0.1282
3407.85088,0.12825
3407.36872,0.12828
3406.88657,0.12832
3406.40442,0.12839
3405.92227,0.12846
3405.44012,0.12852
3404.95796,0.12854
3404.47581,0.12851
3403.99366,0.12846
3403.51151,0.12853
3403.02936,0.12868
3402.5472,0.12879
3402.06505,0.12889
3401.5829,0.129
3401.10075,0.12911
3400.6186,0.12922
3400.13644,0.12931
3399.65429,0.12937
3399.17214,0.12939
3398.68999,0.12934
3398.20784,0.12912
3397.72568,0.12879
3397.24353,0.12875
3396.76138,0.12908
3396.27923,0.12946
3395.79707,0.1297
3395.31492,0.12985
3394.83277,0.12994
3394.35062,0.12993
3393.86847,0.12967
3393.38631,0.12922
3392.90416,0.12907
3392.42201,0.12943
3391.93986,0.12996
3391.45771,0.13033
3390.97555,0.13052
3390.4934,0.13061
3390.01125,0.13066
3389.5291,0.13072
3389.04695,0.13077
3388.56479,0.13082
3388.08264,0.13087
3387.60049,0.13092
3387.11834,0.13095
3386.63619,0.13089
