Created as New Dataset,Sample 104 By Administrator Date Monday, November 04 2019
cm-1,A
2742.00,0.2229
2740.00,0.2206
2738.00,0.2192
2736.00,0.2181
2734.00,0.2166
2732.00,0.2152
2730.00,0.2148
2728.00,0.2163
2726.00,0.2198
2724.00,0.2258
2722.00,0.2343
2720.00,0.2468
2718.00,0.2654
2716.00,0.2901
2714.00,0.3140
2712.00,0.3282
2710.00,0.3329
2708.00,0.3392
2706.00,0.3594
2704.00,0.4027
2702.00,0.4713
2700.00,0.5509
2698.00,0.6138
2696.00,0.6533
2694.00,0.6908
2692.00,0.7371
2690.00,0.7604
2688.00,0.7224
2686.00,0.6454
2684.00,0.5738
2682.00,0.5246
2680.00,0.4944
2678.00,0.4753
2676.00,0.4640
2674.00,0.4652
2672.00,0.4882
2670.00,0.5448
2668.00,0.6506
2666.00,0.8291
2664.00,1.1067
2662.00,1.4782
2660.00,1.7581
2658.00,1.6562
2656.00,1.3789
2654.00,1.0735
2652.00,0.8067
2650.00,0.6135
2648.00,0.4856
2646.00,0.4023
2644.00,0.3458
2642.00,0.3049
2640.00,0.2744
2638.00,0.2519
2636.00,0.2364
2634.00,0.2269
2632.00,0.2224
2630.00,0.2223
2628.00,0.2266
2626.00,0.2361
2624.00,0.2527
2622.00,0.2812
2620.00,0.3286
2618.00,0.4027
2616.00,0.4991
2614.00,0.5810
2612.00,0.6006
2610.00,0.5704
2608.00,0.5423
2606.00,0.5428
2604.00,0.5644
2602.00,0.5866
2600.00,0.5988
2598.00,0.5911
2596.00,0.5476
2594.00,0.4760
2592.00,0.4022
2590.00,0.3420
2588.00,0.2976
2586.00,0.2653
2584.00,0.2406
2582.00,0.2215
2580.00,0.2077
2578.00,0.1999
2576.00,0.1970
2574.00,0.1945
2572.00,0.1878
2570.00,0.1779
2568.00,0.1689
2566.00,0.1630
2564.00,0.1604
2562.00,0.1614
2560.00,0.1666
2558.00,0.1775
2556.00,0.1935
2554.00,0.2083
2552.00,0.2110
2550.00,0.1990
2548.00,0.1811
2546.00,0.1661
2544.00,0.1566
2542.00,0.1522
2540.00,0.1517
2538.00,0.1543
2536.00,0.1579
2534.00,0.1590
2532.00,0.1556
2530.00,0.1497
2528.00,0.1446
2526.00,0.1419
2524.00,0.1416
2522.00,0.1424
2520.00,0.1429
2518.00,0.1433
2516.00,0.1448
2514.00,0.1481
2512.00,0.1533
2510.00,0.1589
2508.00,0.1618
2506.00,0.1602
2504.00,0.1545
2502.00,0.1470
2500.00,0.1401
2498.00,0.1352
2496.00,0.1325
2494.00,0.1316
2492.00,0.1324
2490.00,0.1348
2488.00,0.1393
2486.00,0.1472
2484.00,0.1608
2482.00,0.1835
2480.00,0.2135
2478.00,0.2347
2476.00,0.2307
2474.00,0.2078
2472.00,0.1830
2470.00,0.1638
2468.00,0.1506
2466.00,0.1415
2464.00,0.1353
2462.00,0.1309
2460.00,0.1281
2458.00,0.1263
2456.00,0.1252
2454.00,0.1243
2452.00,0.1235
2450.00,0.1230
2448.00,0.1231
2446.00,0.1240
2444.00,0.1261
2442.00,0.1298
2440.00,0.1352
2438.00,0.1409
2436.00,0.1445
2434.00,0.1446
2432.00,0.1427
2430.00,0.1414
2428.00,0.1424
2426.00,0.1465
2424.00,0.1526
2422.00,0.1591
2420.00,0.1677
2418.00,0.1816
2416.00,0.1989
2414.00,0.2107
2412.00,0.2115
2410.00,0.2043
2408.00,0.1926
2406.00,0.1794
2404.00,0.1697
2402.00,0.1680
2400.00,0.1768
2398.00,0.1948
2396.00,0.2099
2394.00,0.2069
2392.00,0.1896
2390.00,0.1726
2388.00,0.1624
2386.00,0.1593
2384.00,0.1631
2382.00,0.1747
2380.00,0.1941
2378.00,0.2131
2376.00,0.2165
2374.00,0.2008
2372.00,0.1808
2370.00,0.1739
2368.00,0.1855
2366.00,0.1986
2364.00,0.1950
2362.00,0.1830
2360.00,0.1752
2358.00,0.1718
2356.00,0.1690
2354.00,0.1634
2352.00,0.1563
2350.00,0.1547
2348.00,0.1608
2346.00,0.1620
2344.00,0.1564
2342.00,0.1516
2340.00,0.1453
2338.00,0.1386
2336.00,0.1351
2334.00,0.1336
2332.00,0.1318
2330.00,0.1294
2328.00,0.1277
2326.00,0.1237
2324.00,0.1170
2322.00,0.1095
2320.00,0.1040
2318.00,0.1023
2316.00,0.1022
2314.00,0.1047
2312.00,0.1126
2310.00,0.1285
2308.00,0.1525
2306.00,0.1776
2304.00,0.1868
2302.00,0.1745
2300.00,0.1560
2298.00,0.1428
2296.00,0.1358
2294.00,0.1332
2292.00,0.1339
2290.00,0.1372
2288.00,0.1430
2286.00,0.1505
2284.00,0.1564
2282.00,0.1557
2280.00,0.1487
2278.00,0.1405
2276.00,0.1345
2274.00,0.1307
2272.00,0.1284
2270.00,0.1275
2268.00,0.1276
2266.00,0.1289
2264.00,0.1315
2262.00,0.1357
2260.00,0.1421
2258.00,0.1513
2256.00,0.1641
2254.00,0.1809
2252.00,0.2009
2250.00,0.2192
2248.00,0.2266
2246.00,0.2184
2244.00,0.2008
2242.00,0.1837
2240.00,0.1722
2238.00,0.1670
2236.00,0.1674
2234.00,0.1718
2232.00,0.1768
2230.00,0.1767
2228.00,0.1698
2226.00,0.1609
2224.00,0.1551
2222.00,0.1520
2220.00,0.1481
2218.00,0.1438
2216.00,0.1420
2214.00,0.1439
2212.00,0.1493
2210.00,0.1580
2208.00,0.1690
2206.00,0.1777
2204.00,0.1776
2202.00,0.1695
2200.00,0.1603
2198.00,0.1543
2196.00,0.1510
2194.00,0.1489
2192.00,0.1478
2190.00,0.1486
2188.00,0.1522
2186.00,0.1602
2184.00,0.1747
2182.00,0.1959
2180.00,0.2170
2178.00,0.2249
2176.00,0.2161
2174.00,0.2015
2172.00,0.1903
2170.00,0.1825
2168.00,0.1744
2166.00,0.1642
2164.00,0.1534
2162.00,0.1444
2160.00,0.1385
2158.00,0.1367
2156.00,0.1401
2154.00,0.1496
2152.00,0.1601
2150.00,0.1631
2148.00,0.1581
2146.00,0.1536
2144.00,0.1570
2142.00,0.1732
2140.00,0.2003
2138.00,0.2177
2136.00,0.2072
2134.00,0.1833
2132.00,0.1661
2130.00,0.1597
2128.00,0.1591
2126.00,0.1561
2124.00,0.1473
2122.00,0.1364
2120.00,0.1273
2118.00,0.1210
2116.00,0.1168
2114.00,0.1139
2112.00,0.1117
2110.00,0.1099
2108.00,0.1084
2106.00,0.1071
2104.00,0.1060
2102.00,0.1051
2100.00,0.1044
2098.00,0.1039
2096.00,0.1036
2094.00,0.1033
2092.00,0.1030
2090.00,0.1028
2088.00,0.1028
2086.00,0.1028
2084.00,0.1030
2082.00,0.1034
2080.00,0.1041
2078.00,0.1051
2076.00,0.1066
2074.00,0.1090
2072.00,0.1125
2070.00,0.1179
2068.00,0.1253
2066.00,0.1339
2064.00,0.1475
2062.00,0.1685
2060.00,0.1832
2058.00,0.1754
2056.00,0.1546
2054.00,0.1374
2052.00,0.1270
2050.00,0.1215
