Created as New Dataset,Sample 113 By Administrator Date Wednesday, July 29 2020
cm-1,A
2890.00,0.5332
2888.00,0.5024
2886.00,0.4750
2884.00,0.4497
2882.00,0.4256
2880.00,0.4026
2878.00,0.3810
2876.00,0.3618
2874.00,0.3464
2872.00,0.3362
2870.00,0.3325
2868.00,0.3367
2866.00,0.3501
2864.00,0.3738
2862.00,0.4081
2860.00,0.4519
2858.00,0.5027
2856.00,0.5560
2854.00,0.6051
2852.00,0.6423
2850.00,0.6593
2848.00,0.6487
2846.00,0.6072
2844.00,0.5385
2842.00,0.4540
2840.00,0.3686
2838.00,0.2941
2836.00,0.2362
2834.00,0.1948
2832.00,0.1667
2830.00,0.1484
2828.00,0.1363
2826.00,0.1283
2824.00,0.1227
2822.00,0.1188
2820.00,0.1160
2818.00,0.1140
2816.00,0.1125
2814.00,0.1115
2812.00,0.1106
2810.00,0.1097
2808.00,0.1084
2806.00,0.1068
2804.00,0.1050
2802.00,0.1030
2800.00,0.1010
2798.00,0.0991
2796.00,0.0974
2794.00,0.0959
2792.00,0.0947
2790.00,0.0937
2788.00,0.0930
2786.00,0.0925
2784.00,0.0924
2782.00,0.0923
2780.00,0.0921
2778.00,0.0915
2776.00,0.0904
2774.00,0.0890
2772.00,0.0874
2770.00,0.0859
2768.00,0.0847
2766.00,0.0837
2764.00,0.0829
2762.00,0.0822
2760.00,0.0816
2758.00,0.0812
2756.00,0.0807
2754.00,0.0803
2752.00,0.0800
2750.00,0.0797
2748.00,0.0794
2746.00,0.0793
2744.00,0.0793
2742.00,0.0794
2740.00,0.0797
2738.00,0.0801
2736.00,0.0806
2734.00,0.0812
2732.00,0.0817
2730.00,0.0822
2728.00,0.0825
2726.00,0.0828
2724.00,0.0830
2722.00,0.0832
2720.00,0.0832
2718.00,0.0832
2716.00,0.0831
2714.00,0.0830
2712.00,0.0828
2710.00,0.0826
2708.00,0.0824
2706.00,0.0822
2704.00,0.0821
2702.00,0.0821
2700.00,0.0821
2698.00,0.0822
2696.00,0.0823
2694.00,0.0824
2692.00,0.0825
2690.00,0.0825
2688.00,0.0825
2686.00,0.0824
2684.00,0.0823
2682.00,0.0821
2680.00,0.0819
2678.00,0.0818
2676.00,0.0817
2674.00,0.0817
2672.00,0.0817
2670.00,0.0816
2668.00,0.0814
2666.00,0.0811
2664.00,0.0809
2662.00,0.0808
2660.00,0.0808
2658.00,0.0809
2656.00,0.0811
2654.00,0.0813
2652.00,0.0815
2650.00,0.0816
2648.00,0.0818
2646.00,0.0819
2644.00,0.0820
2642.00,0.0823
2640.00,0.0829
2638.00,0.0839
2636.00,0.0855
2634.00,0.0871
2632.00,0.0881
2630.00,0.0878
2628.00,0.0863
2626.00,0.0842
2624.00,0.0824
2622.00,0.0809
2620.00,0.0798
2618.00,0.0791
2616.00,0.0788
2614.00,0.0789
2612.00,0.0796
2610.00,0.0807
2608.00,0.0822
2606.00,0.0838
2604.00,0.0849
2602.00,0.0851
2600.00,0.0842
2598.00,0.0825
2596.00,0.0806
2594.00,0.0789
2592.00,0.0777
2590.00,0.0771
2588.00,0.0773
2586.00,0.0781
2584.00,0.0794
2582.00,0.0806
2580.00,0.0807
2578.00,0.0798
2576.00,0.0782
