Created as New Dataset,Sample 116 By Administrator Date Monday, August 24 2020
cm-1,A
2784.00,-0.0080
2782.00,-0.0079
2780.00,-0.0079
2778.00,-0.0078
2776.00,-0.0076
2774.00,-0.0075
2772.00,-0.0075
2770.00,-0.0074
2768.00,-0.0073
2766.00,-0.0072
2764.00,-0.0071
2762.00,-0.0070
2760.00,-0.0069
2758.00,-0.0068
2756.00,-0.0067
2754.00,-0.0067
2752.00,-0.0066
2750.00,-0.0066
2748.00,-0.0065
2746.00,-0.0064
2744.00,-0.0064
2742.00,-0.0063
2740.00,-0.0063
2738.00,-0.0062
2736.00,-0.0061
2734.00,-0.0061
2732.00,-0.0060
2730.00,-0.0059
2728.00,-0.0059
2726.00,-0.0058
2724.00,-0.0057
2722.00,-0.0057
2720.00,-0.0056
2718.00,-0.0056
2716.00,-0.0056
2714.00,-0.0055
2712.00,-0.0055
2710.00,-0.0055
2708.00,-0.0054
2706.00,-0.0053
2704.00,-0.0053
2702.00,-0.0053
2700.00,-0.0052
2698.00,-0.0052
2696.00,-0.0052
2694.00,-0.0052
2692.00,-0.0051
2690.00,-0.0050
2688.00,-0.0050
2686.00,-0.0050
2684.00,-0.0050
2682.00,-0.0049
2680.00,-0.0049
2678.00,-0.0049
2676.00,-0.0049
2674.00,-0.0049
2672.00,-0.0048
2670.00,-0.0048
2668.00,-0.0048
2666.00,-0.0048
2664.00,-0.0048
2662.00,-0.0048
2660.00,-0.0048
2658.00,-0.0048
2656.00,-0.0046
2654.00,-0.0046
2652.00,-0.0045
2650.00,-0.0046
2648.00,-0.0045
2646.00,-0.0044
2644.00,-0.0044
2642.00,-0.0044
2640.00,-0.0043
2638.00,-0.0043
2636.00,-0.0042
2634.00,-0.0043
2632.00,-0.0043
2630.00,-0.0043
2628.00,-0.0043
2626.00,-0.0043
2624.00,-0.0042
2622.00,-0.0042
2620.00,-0.0042
2618.00,-0.0042
2616.00,-0.0043
2614.00,-0.0043
2612.00,-0.0043
2610.00,-0.0042
2608.00,-0.0042
2606.00,-0.0042
2604.00,-0.0043
2602.00,-0.0042
2600.00,-0.0042
2598.00,-0.0042
2596.00,-0.0043
2594.00,-0.0042
2592.00,-0.0043
2590.00,-0.0043
2588.00,-0.0044
2586.00,-0.0043
2584.00,-0.0042
2582.00,-0.0043
2580.00,-0.0043
2578.00,-0.0043
2576.00,-0.0044
2574.00,-0.0044
2572.00,-0.0043
2570.00,-0.0044
2568.00,-0.0044
2566.00,-0.0044
2564.00,-0.0045
2562.00,-0.0045
2560.00,-0.0044
2558.00,-0.0045
2556.00,-0.0045
2554.00,-0.0045
2552.00,-0.0045
2550.00,-0.0045
2548.00,-0.0046
2546.00,-0.0047
2544.00,-0.0047
2542.00,-0.0047
2540.00,-0.0047
2538.00,-0.0048
2536.00,-0.0048
2534.00,-0.0048
2532.00,-0.0048
2530.00,-0.0048
2528.00,-0.0048
2526.00,-0.0049
2524.00,-0.0049
2522.00,-0.0049
2520.00,-0.0049
2518.00,-0.0049
2516.00,-0.0050
2514.00,-0.0050
2512.00,-0.0051
2510.00,-0.0052
2508.00,-0.0052
2506.00,-0.0052
2504.00,-0.0052
2502.00,-0.0052
2500.00,-0.0054
2498.00,-0.0054
2496.00,-0.0055
2494.00,-0.0055
2492.00,-0.0055
2490.00,-0.0055
2488.00,-0.0056
2486.00,-0.0057
2484.00,-0.0057
2482.00,-0.0057
2480.00,-0.0058
2478.00,-0.0058
2476.00,-0.0059
2474.00,-0.0060
2472.00,-0.0059
2470.00,-0.0058
2468.00,-0.0059
2466.00,-0.0061
2464.00,-0.0061
2462.00,-0.0061
2460.00,-0.0061
2458.00,-0.0062
