Time (s),Heat Flow (mJ/s)
297,14.122746
297.19998,14.122832
297.40002,14.122917
297.6,14.122941
297.79998,14.123045
298.00002,14.123112
298.2,14.123191
298.39998,14.123277
298.60002,14.123362
298.8,14.123368
298.99998,14.123398
299.20002,14.12341
299.4,14.123361
299.59998,14.123337
299.80002,14.123257
300,14.123226
300.19998,14.123202
300.40002,14.123177
300.6,14.123091
300.79998,14.123067
301.00002,14.123042
301.2,14.123011
301.39998,14.123005
301.60002,14.12298
301.8,14.122955
301.99998,14.122888
302.20002,14.122881
302.4,14.122857
302.59998,14.122826
302.80002,14.122819
303,14.122868
303.19998,14.122874
303.40002,14.122849
303.6,14.122855
303.79998,14.122958
304.00002,14.123062
304.2,14.123251
304.39998,14.123372
304.60002,14.123366
304.8,14.123432
304.99998,14.123567
305.20002,14.123743
305.4,14.123877
305.59998,14.123999
305.80002,14.124121
306,14.124218
306.19998,14.12434
306.40002,14.124534
306.6,14.124705
306.79998,14.124937
307.00002,14.12515
307.2,14.12532
307.39998,14.125515
307.60002,14.125655
307.8,14.125734
307.99998,14.125801
308.20002,14.125776
308.4,14.125781
308.59998,14.125903
308.80002,14.126189
309,14.126543
309.19998,14.127196
309.40002,14.127702
309.6,14.128422
309.79998,14.128342
310.00002,14.132328
310.2,14.143104
310.39998,14.154326
310.60002,14.163514
310.8,14.170027
310.99998,14.175931
311.20002,14.180209
311.4,14.184323
311.59998,14.187039
311.80002,14.18857
312,14.18935
312.19998,14.188605
312.40002,14.189165
312.6,14.189725
312.79998,14.190591
313.00002,14.19095
313.2,14.191071
313.39998,14.191479
313.60002,14.191746
313.8,14.191995
313.99998,14.192531
314.20002,14.192981
314.4,14.193322
314.59998,14.194316
314.80002,14.194711
315,14.195161
315.19998,14.195551
315.40002,14.195946
315.6,14.196305
315.79998,14.196621
316.00002,14.197035
316.2,14.197412
316.39998,14.19782
316.60002,14.198233
316.8,14.198701
316.99998,14.199243
317.20002,14.199797
317.4,14.200174
317.59998,14.200661
317.80002,14.201087
318,14.20161
318.19998,14.202023
318.40002,14.202303
318.6,14.202606
318.79998,14.202928
319.00002,14.203299
319.2,14.203804
319.39998,14.204327
319.60002,14.204882
319.8,14.205606
319.99998,14.206404
320.20002,14.207562
320.4,14.208964
320.59998,14.210214
320.80002,14.211634
321,14.213658
321.19998,14.215274
321.40002,14.216841
321.6,14.218535
321.79998,14.220151
322.00002,14.221626
322.2,14.223137
322.39998,14.224717
322.60002,14.226301
322.8,14.227959
322.99998,14.229703
323.20002,14.231434
323.4,14.233165
323.59998,14.234854
323.80002,14.236566
324,14.238315
324.19998,14.240059
324.40002,14.241845
324.6,14.24363
324.79998,14.245392
325.00002,14.247233
325.2,14.249091
325.39998,14.250872
325.60002,14.252675
325.8,14.254515
325.99998,14.256405
326.20002,14.258246
326.4,14.260122
326.59998,14.262054
326.80002,14.263962
327,14.265948
327.19998,14.267989
327.40002,14.270008
327.6,14.272067
327.79998,14.274145
328.00002,14.276217
328.2,14.278295
328.39998,14.280336
328.60002,14.28239
328.8,14.28445
328.99998,14.286527
329.20002,14.288673
329.4,14.290952
329.59998,14.293267
329.80002,14.295467
330,14.297673
330.19998,14.299933
330.40002,14.302358
330.6,14.304943
330.79998,14.307697
331.00002,14.310487
331.2,14.313292
331.39998,14.316247
331.60002,14.319015
331.8,14.321695
331.99998,14.324376
332.20002,14.326961
332.4,14.329623
332.59998,14.332285
332.80002,14.334979
333,14.337751
333.19998,14.340486
333.40002,14.343185
333.6,14.345861
333.79998,14.348596
334.00002,14.351349
334.2,14.354134
334.39998,14.356997
334.60002,14.359819
334.8,14.3627
334.99998,14.365581
335.20002,14.368422
335.4,14.371229
335.59998,14.374019
335.80002,14.376914
336,14.379794
336.19998,14.382657
336.40002,14.38557
336.6,14.388615
336.79998,14.391697
337.00002,14.394779
337.2,14.397893
337.39998,14.401103
337.60002,14.404308
337.8,14.407518
337.99998,14.410782
338.20002,14.414043
338.4,14.417435
338.59998,14.420918
338.80002,14.424417
339,14.427992
339.19998,14.431548
339.40002,14.435138
339.6,14.438951
339.79998,14.442983
340.00002,14.447176
340.2,14.451555
340.39998,14.456191
340.60002,14.461024
