Time (s),Heat Flow (mJ/s)
208.39998,20.579184
208.60002,20.579353
208.8,20.579539
208.99998,20.579637
209.20002,20.579572
209.4,20.579452
209.59998,20.579298
209.80002,20.578981
210,20.5787
210.19998,20.578401
210.40002,20.578139
210.6,20.578002
210.79998,20.577847
211.00002,20.577693
211.2,20.577538
211.39998,20.57733
211.60002,20.577194
211.8,20.577057
211.99998,20.576975
212.20002,20.576912
212.4,20.576973
212.59998,20.577107
212.80002,20.577349
213,20.577753
213.19998,20.578139
213.40002,20.578436
213.6,20.578605
213.79998,20.578812
214.00002,20.579036
214.2,20.579314
214.39998,20.579557
214.60002,20.5798
214.8,20.580024
214.99998,20.580231
215.20002,20.580456
215.4,20.580662
215.59998,20.580887
215.80002,20.58113
216,20.581354
216.19998,20.581616
216.40002,20.581841
216.6,20.582066
216.79998,20.582291
217.00002,20.582499
217.2,20.582723
217.39998,20.582913
217.60002,20.583103
217.8,20.583292
217.99998,20.5835
218.20002,20.58369
218.4,20.583897
218.59998,20.584141
218.80002,20.584349
219,20.584592
219.19998,20.584819
219.40002,20.585045
219.6,20.585252
219.79998,20.585443
220.00002,20.585651
220.2,20.585877
220.39998,20.586086
220.60002,20.586294
220.8,20.586502
220.99998,20.586765
221.20002,20.58701
221.4,20.587272
221.59998,20.587517
221.80002,20.587762
222,20.587988
222.19998,20.588251
222.40002,20.588515
222.6,20.588759
222.79998,20.588986
223.00002,20.589232
223.2,20.589476
223.39998,20.589722
223.60002,20.589968
223.8,20.590176
223.99998,20.590386
224.20002,20.590596
224.4,20.590787
224.59998,20.590961
224.80002,20.591153
225,20.591344
225.19998,20.591536
225.40002,20.591711
225.6,20.591883
225.79998,20.592004
226.00002,20.592161
226.2,20.59228
226.39998,20.592418
226.60002,20.592593
226.8,20.592784
226.99998,20.592923
227.20002,20.593081
227.4,20.5932
227.59998,20.593321
227.80002,20.593442
228,20.593508
228.19998,20.593593
228.40002,20.593661
228.6,20.593762
228.79998,20.593812
229.00002,20.593879
229.2,20.593945
229.39998,20.594049
229.60002,20.594153
229.8,20.594309
229.99998,20.594467
230.20002,20.594607
230.4,20.594709
230.59998,20.594849
230.80002,20.594971
231,20.595074
231.19998,20.595196
231.40002,20.595282
231.6,20.595403
231.79998,20.595525
232.00002,20.595702
232.2,20.595913
232.39998,20.596126
232.60002,20.596338
232.8,20.596513
232.99998,20.596708
233.20002,20.596903
233.4,20.597096
233.59998,20.597309
233.80002,20.597541
234,20.597734
234.19998,20.597947
234.40002,20.598161
234.6,20.598336
234.79998,20.598513
235.00002,20.598709
235.2,20.598903
235.39998,20.599134
235.60002,20.599348
235.8,20.59956
235.99998,20.599738
236.20002,20.599934
236.4,20.600128
236.59998,20.600306
236.80002,20.600502
237,20.600678
237.19998,20.600875
237.40002,20.601071
237.6,20.601247
237.79998,20.601444
238.00002,20.601604
238.2,20.601763
238.39998,20.601905
238.60002,20.60203
238.8,20.602153
238.99998,20.602278
239.20002,20.602439
239.4,20.602633
239.59998,20.602831
239.80002,20.602974
240,20.603133
240.19998,20.603312
240.40002,20.603509
240.6,20.603831
240.79998,20.604208
241.00002,20.60437
241.2,20.604349
241.39998,20.604205
241.60002,20.60397
241.8,20.603715
241.99998,20.603607
242.20002,20.603625
242.4,20.603641
242.59998,20.603731
242.80002,20.603767
243,20.603746
243.19998,20.603693
243.40002,20.603657
243.6,20.603745
243.79998,20.603997
244.00002,20.604286
