Time (sec),Heat Flow (mJ/s)
150.40002,7.881509607
150.6,7.879658976
150.79998,7.877808345
151.00002,7.875957714
151.2,7.874107083
151.39998,7.872256452
151.60002,7.870405821
151.8,7.86855519
151.99998,7.86670456
152.20002,7.864853929
152.4,7.863003298
152.59998,7.861152667
152.80002,7.859302036
153,7.857451405
153.19998,7.855600774
153.40002,7.853750143
153.6,7.851899512
153.79998,7.850048881
154.00002,7.84819825
154.2,7.846347619
154.39998,7.844496988
154.60002,7.842646357
154.8,7.840795726
154.99998,7.838945095
155.20002,7.837094464
155.4,7.835243833
155.59998,7.833393202
155.80002,7.831542571
156,7.82969194
156.19998,7.82784131
156.40002,7.825990679
156.6,7.824140048
156.79998,7.822289417
157.00002,7.820438786
157.2,7.818588155
157.39998,7.816737524
157.60002,7.814886893
157.8,7.813036262
157.99998,7.811185631
158.20002,7.809335
158.4,7.807484369
158.59998,7.805633738
158.80002,7.803783107
159,7.801932476
159.19998,7.800081845
159.40002,7.798231214
159.6,7.796380583
159.79998,7.794529952
160.00002,7.792679321
160.2,7.79082869
160.39998,7.78897806
160.60002,7.787127429
160.8,7.785276798
160.99998,7.783426167
161.20002,7.781575536
161.4,7.779724905
161.59998,7.777874274
161.80002,7.776023643
162,7.774173012
162.19998,7.772322381
162.40002,7.77047175
162.6,7.768621119
162.79998,7.766770488
163.00002,7.764919857
163.2,7.763069226
163.39998,7.761218595
163.60002,7.759367964
163.8,7.757517333
163.99998,7.755666702
164.20002,7.753816071
164.4,7.75196544
164.59998,7.75011481
164.80002,7.748264179
165,7.746413548
165.19998,7.744562917
165.40002,7.742712286
165.6,7.740861655
165.79998,7.739011024
166.00002,7.737160393
166.2,7.735309762
166.39998,7.733459131
166.60002,7.7316085
166.8,7.729757869
166.99998,7.727907238
167.20002,7.726056607
167.4,7.724205976
167.59998,7.722355345
167.80002,7.720504714
168,7.718654083
168.19998,7.716803452
168.40002,7.714952821
168.6,7.71310219
168.79998,7.71125156
169.00002,7.709400929
169.2,7.707550298
169.39998,7.705699667
169.60002,7.703849036
169.8,7.701998405
169.99998,7.700147774
170.20002,7.698297143
170.4,7.696446512
170.59998,7.694595881
170.80002,7.69274525
171,7.690894619
171.19998,7.689043988
171.40002,7.687193357
171.6,7.685342726
171.79998,7.683492095
172.00002,7.681641464
172.2,7.679790833
172.39998,7.677940202
172.60002,7.676089571
172.8,7.67423894
172.99998,7.67238831
173.20002,7.670537679
173.4,7.668687048
173.59998,7.666836417
173.80002,7.664985786
174,7.663135155
174.19998,7.661284524
174.40002,7.659433893
174.6,7.657583262
174.79998,7.655732631
175.00002,7.653882
175.2,7.652031369
175.39998,7.650180738
175.60002,7.648330107
175.8,7.646479476
175.99998,7.644628845
176.20002,7.642778214
176.4,7.641006
176.59998,7.639097
176.80002,7.637189
177,7.635318
177.19998,7.633465
177.40002,7.631632
177.6,7.629837
177.79998,7.628059
178.00002,7.626301
178.2,7.624505
178.39998,7.622709
178.60002,7.620932
178.8,7.619174
178.99998,7.617377
179.20002,7.615544
179.4,7.613692
179.59998,7.611745
179.80002,7.609723
180,7.607702
180.19998,7.605642
180.40002,7.60379
180.6,7.60207
180.79998,7.600817
181.00002,7.599792
181.2,7.598616
181.39998,7.59727
181.60002,7.595718
181.8,7.594073
181.99998,7.592388
182.20002,7.590762
182.4,7.589135
182.59998,7.587432
182.80002,7.585692
183,7.584065
183.19998,7.582531
183.40002,7.580866
183.6,7.579164
183.79998,7.577442
184.00002,7.575702
184.2,7.573906
184.39998,7.572128
184.60002,7.570313
184.8,7.568554
184.99998,7.566794
185.20002,7.565073
185.4,7.563333
185.59998,7.561592
185.80002,7.559852
186,7.558131
186.19998,7.55639
186.40002,7.554706
186.6,7.553079
186.79998,7.55145
187.00002,7.549785
187.2,7.548083
187.39998,7.546455
187.60002,7.544883
187.8,7.54335
187.99998,7.541891
188.20002,7.540432
188.4,7.538973
188.59998,7.537514
188.80002,7.535998
189,7.534521
189.19998,7.533062
189.40002,7.531622
189.6,7.530238
189.79998,7.528873
190.00002,7.527545
190.2,7.52618
190.39998,7.524796
190.60002,7.523487
190.8,7.522178
190.99998,7.520832
191.20002,7.519466
191.4,7.518101
191.59998,7.516736
191.80002,7.515351
192,7.513949
192.19998,7.512583
192.40002,7.511198
192.6,7.509796
192.79998,7.50843
193.00002,7.507008
193.2,7.505605
193.39998,7.504182
193.60002,7.502761
193.8,7.501358
193.99998,7.499973
194.20002,7.498588
194.4,7.497204
194.59998,7.495763
194.80002,7.494266
195,7.492731
195.19998,7.491289
195.40002,7.489886
195.6,7.488502
195.79998,7.487173
196.00002,7.485845
196.2,7.484516
196.39998,7.483206
196.60002,7.481859
196.8,7.480549
196.99998,7.479277
197.20002,7.478023
197.4,7.476826
197.59998,7.475667
197.80002,7.474451
198,7.473272
198.19998,7.472037
198.40002,7.470746
198.6,7.469398
198.79998,7.468051
199.00002,7.46674
199.2,7.465487
199.39998,7.464252
199.60002,7.463073
199.8,7.4618
199.99998,7.460434
200.20002,7.458991
200.4,7.457644
200.59998,7.456334
200.80002,7.455004
201,7.453637
201.19998,7.452327
201.40002,7.451054
201.6,7.449781
201.79998,7.448545
202.00002,7.447347
202.2,7.446131
202.39998,7.444933
202.60002,7.443734
202.8,7.442518
202.99998,7.441319
203.20002,7.440084
203.4,7.438848
203.59998,7.437631
203.80002,7.436414
204,7.435291
204.19998,7.434167
204.40002,7.433044
204.6,7.43194
204.79998,7.430854
205.00002,7.429712
205.2,7.42857
205.39998,7.427427
205.60002,7.426304
205.8,7.425162
205.99998,7.424057
206.20002,7.42299
206.4,7.421885
206.59998,7.420818
206.80002,7.419732
207,7.418646
207.19998,7.41754
207.40002,7.416454
207.6,7.415349
207.79998,7.414263
208.00002,7.413139
208.2,7.412053
208.39998,7.410966
208.60002,7.409898
208.8,7.408812
208.99998,7.407763
209.20002,7.406658
209.4,7.405609
209.59998,7.404579
209.80002,7.403604
210,7.402593
210.19998,7.401562
210.40002,7.400551
210.6,7.399483
210.79998,7.398414
211.00002,7.397346
211.2,7.396297
211.39998,7.395266
211.60002,7.394255
211.8,7.393262
211.99998,7.392268
212.20002,7.391256
212.4,7.390263
212.59998,7.389288
212.80002,7.388333
213,7.387339
213.19998,7.386346
213.40002,7.385352
213.6,7.38434
213.79998,7.383328
214.00002,7.382334
214.2,7.381322
214.39998,7.380385
214.60002,7.379409
214.8,7.378472
214.99998,7.377516
215.20002,7.376578
215.4,7.37566
215.59998,7.374722
215.80002,7.373822
216,7.372922
216.19998,7.372003
216.40002,7.371065
216.6,7.370146
216.79998,7.369209
217.00002,7.368289
217.2,7.367389
217.39998,7.366451
217.60002,7.365513
217.8,7.364575
217.99998,7.363675
218.20002,7.362774
218.4,7.36193
218.59998,7.361048
218.80002,7.360223
219,7.359397
219.19998,7.35859
219.40002,7.357783
219.6,7.35692
219.79998,7.356057
220.00002,7.355212
220.2,7.35433
220.39998,7.353485
220.60002,7.352622
220.8,7.351758
220.99998,7.350932
221.20002,7.350125
221.4,7.349355
221.59998,7.348548
221.80002,7.347759
222,7.34699
222.19998,7.346201
222.40002,7.345431
222.6,7.34468
222.79998,7.34391
223.00002,7.343102
223.2,7.342276
223.39998,7.34143
223.60002,7.340604
223.8,7.339777
223.99998,7.33895
224.20002,7.338124
224.4,7.337278
224.59998,7.336452
224.80002,7.335662
225,7.334873
225.19998,7.334065
225.40002,7.333276
225.6,7.332486
225.79998,7.331697
226.00002,7.330945
226.2,7.330211
226.39998,7.329478
226.60002,7.328745
226.8,7.327993
226.99998,7.327184
227.20002,7.326413
227.4,7.325699
227.59998,7.325021
227.80002,7.324382
228,7.323723
228.19998,7.323046
228.40002,7.322369
228.6,7.321654
228.79998,7.320976
229.00002,7.32028
229.2,7.319584
229.39998,7.318887
229.60002,7.318172
229.8,7.317495
229.99998,7.316817
230.20002,7.316158
230.4,7.315499
230.59998,7.314802
230.80002,7.314087
231,7.313371
231.19998,7.312656
231.40002,7.311959
231.6,7.3113
231.79998,7.310659
232.00002,7.31
232.2,7.309397
232.39998,7.308794
232.60002,7.308191
232.8,7.307568
232.99998,7.306984
233.20002,7.306381
233.4,7.305796
233.59998,7.305211
233.80002,7.304627
234,7.30408
234.19998,7.303514
234.40002,7.30291
234.6,7.302325
234.79998,7.30174
235.00002,7.301175
235.2,7.300627
235.39998,7.300061
235.60002,7.299513
235.8,7.298966
235.99998,7.298456
236.20002,7.297946
236.4,7.297454
236.59998,7.296944
236.80002,7.296434
237,7.295924
237.19998,7.295432
237.40002,7.294922
237.6,7.29443
237.79998,7.293995
238.00002,7.29356
238.2,7.293105
238.39998,7.29267
238.60002,7.292197
238.8,7.291743
238.99998,7.291307
239.20002,7.290853
239.4,7.290417
239.59998,7.289962
239.80002,7.289508
240,7.289091
240.19998,7.288674
240.40002,7.288257
240.6,7.287839
240.79998,7.287441
241.00002,7.287062
241.2,7.286663
241.39998,7.286302
241.60002,7.285922
241.8,7.28558
241.99998,7.285256
242.20002,7.284895
242.4,7.284552
242.59998,7.284191
242.80002,7.283849
243,7.283506
243.19998,7.283201
243.40002,7.282915
243.6,7.282647
243.79998,7.282436
244.00002,7.282225
244.2,7.282013
244.39998,7.281783
244.60002,7.281572
244.8,7.28136
244.99998,7.28111
245.20002,7.280918
245.4,7.280687
245.59998,7.280475
245.80002,7.280283
246,7.280071
246.19998,7.279878
246.40002,7.279666
246.6,7.27951
246.79998,7.279355
247.00002,7.279199
247.2,7.279043
247.39998,7.278926
247.60002,7.278788
247.8,7.278689
247.99998,7.278589
248.20002,7.27849
248.4,7.278315
248.59998,7.278102
248.80002,7.277834
249,7.277546
249.19998,7.277428
249.40002,7.277328
249.6,7.27719
249.79998,7.277034
250.00002,7.276934
250.2,7.276984
250.39998,7.277035
250.60002,7.277329
250.8,7.278412
250.99998,7.280585
251.20002,7.284842
251.4,7.290921
251.59998,7.2933
251.80002,7.300657
252,7.309141
252.19998,7.334154
252.40002,7.371734
252.6,7.45229
252.79998,7.597257
253.00002,7.813491
253.2,8.093046
253.39998,8.435643
253.60002,8.834256
253.8,9.264392
253.99998,9.726614
254.20002,10.215494
254.4,10.726168
254.59998,11.252025
254.80002,11.783445
255,12.330084
255.19998,12.88815
255.40002,13.441054
255.6,14.007861
255.79998,14.576742
256.00002,15.142585
256.2,15.710852
256.39998,16.281964
256.60002,16.851127
256.8,17.420704
256.99998,17.98858
257.20002,18.55464
257.4,19.121939
257.59998,19.68938
257.80002,20.251097
258,20.812925
258.19998,21.370087
258.40002,21.918331
258.6,22.45701
258.79998,22.987362
259.00002,23.49911
259.2,23.989758
259.39998,24.453396
259.60002,24.859082
259.8,25.156778
259.99998,25.191815
260.20002,24.939155
260.4,24.437259
260.59998,23.770853
260.80002,23.000879
261,22.174191
261.19998,21.335884
261.40002,20.508665
261.6,19.699388
261.79998,18.920859
262.00002,18.184512
262.2,17.488388
262.39998,16.828462
262.60002,16.211322
262.8,15.632246
262.99998,15.092599
263.20002,14.586123
263.4,14.112882
263.59998,13.668307
263.80002,13.256227
264,12.876294
264.19998,12.520894
264.40002,12.187434
264.6,11.875936
264.79998,11.585948
265.00002,11.318107
265.2,11.06353
265.39998,10.823906
265.60002,10.612257
265.8,10.401733
265.99998,10.211235
266.20002,10.031409
266.4,9.864056
266.59998,9.704631
266.80002,9.561476
267,9.424145
267.19998,9.298931
267.40002,9.177136
267.6,9.063194
267.79998,8.957518
268.00002,8.856708
268.2,8.765817
268.39998,8.676223
268.60002,8.593279
268.8,8.51988
268.99998,8.443756
269.20002,8.373737
269.4,8.314203
269.59998,8.255213
269.80002,8.19876
270,8.150104
270.19998,8.103685
270.40002,8.056474
270.6,8.010523
270.79998,7.965792
271.00002,7.929724
271.2,7.887905
271.39998,7.856009
271.60002,7.823453
271.8,7.78975
271.99998,7.763264
272.20002,7.735105
272.4,7.706306
272.59998,7.684216
272.80002,7.662954
273,7.640637
273.19998,7.618678
273.40002,7.59905
273.6,7.580848
273.79998,7.56492
274.00002,7.548223
274.2,7.535433
274.39998,7.521384
274.60002,7.507618
274.8,7.493192
274.99998,7.480478
275.20002,7.468627
275.4,7.458091
275.59998,7.448046
275.80002,7.437979
276,7.427875
276.19998,7.418937
276.40002,7.409849
276.6,7.40106
276.79998,7.393511
277.00002,7.386528
277.2,7.379355
277.39998,7.372915
277.60002,7.366872
277.8,7.360713
277.99998,7.356267
278.20002,7.351894
278.4,7.347634
278.59998,7.342811
278.80002,7.337818
279,7.333557
279.19998,7.330556
279.40002,7.32733
279.6,7.324536
279.79998,7.321271
280.00002,7.317688
280.2,7.314123
280.39998,7.311252
280.60002,7.308346
280.8,7.305494
280.99998,7.302417
281.20002,7.299624
