Time (s),Heat Flow (mJ/s)
220.8,9.614058
220.99998,9.597329
221.20002,9.580554
221.4,9.563769
221.59998,9.547041
221.80002,9.530304
222,9.513576
222.19998,9.496905
222.40002,9.480187
222.6,9.463367
222.79998,9.446529
223.00002,9.429719
223.2,9.412937
223.39998,9.396155
223.60002,9.37943
223.8,9.362677
223.99998,9.345785
224.20002,9.329703
224.4,9.314024
224.59998,9.298344
224.80002,9.282599
225,9.26679
225.19998,9.250869
225.40002,9.235273
225.6,9.219894
225.79998,9.204608
226.00002,9.189479
226.2,9.174492
226.39998,9.159561
226.60002,9.144676
226.8,9.130081
226.99998,9.115561
227.20002,9.101172
227.4,9.086735
227.59998,9.072271
227.80002,9.057872
228,9.043372
228.19998,9.029059
228.40002,9.01479
228.6,9.000478
228.79998,8.986203
229.00002,8.97201
229.2,8.957791
229.39998,8.943554
229.60002,8.929455
229.8,8.915647
229.99998,8.902138
230.20002,8.888692
230.4,8.875481
230.59998,8.862327
230.80002,8.849161
231,8.835951
231.19998,8.822798
231.40002,8.809949
231.6,8.797449
231.79998,8.78506
232.00002,8.772641
232.2,8.760253
232.39998,8.747809
232.60002,8.735409
232.8,8.722929
232.99998,8.710523
233.20002,8.698309
233.4,8.686277
233.59998,8.674394
233.80002,8.662498
234,8.65069
234.19998,8.639031
234.40002,8.627527
234.6,8.616055
234.79998,8.604491
235.00002,8.592968
235.2,8.581348
235.39998,8.569803
235.60002,8.558318
235.8,8.546866
235.99998,8.535433
236.20002,8.523945
236.4,8.512517
236.59998,8.501122
236.80002,8.489969
237,8.479007
237.19998,8.468135
237.40002,8.457952
237.6,8.447699
237.79998,8.437665
238.00002,8.427543
238.2,8.417175
238.39998,8.406825
238.60002,8.39674
238.8,8.386522
238.99998,8.376415
239.20002,8.366424
239.4,8.356522
239.59998,8.346659
239.80002,8.336664
240,8.326692
240.19998,8.316811
240.40002,8.307059
240.6,8.297293
240.79998,8.287411
241.00002,8.277661
241.2,8.268081
241.39998,8.258722
241.60002,8.249549
241.8,8.24051
241.99998,8.23145
242.20002,8.222429
242.4,8.213444
242.59998,8.204458
242.80002,8.195436
243,8.186435
243.19998,8.177636
243.40002,8.16908
243.6,8.160787
243.79998,8.152567
244.00002,8.144498
244.2,8.136445
244.39998,8.128244
244.60002,8.120119
244.8,8.112049
244.99998,8.103922
245.20002,8.095779
245.4,8.087672
245.59998,8.079639
245.80002,8.071606
246,8.063669
246.19998,8.055711
246.40002,8.047941
246.6,8.040207
246.79998,8.032436
247.00002,8.024628
247.2,8.01684
247.39998,8.00907
247.60002,8.001394
247.8,7.993754
247.99998,7.986114
248.20002,7.978532
248.4,7.971004
248.59998,7.963588
248.80002,7.956248
249,7.948852
249.19998,7.941976
249.40002,7.935121
249.6,7.928395
249.79998,7.921595
250.00002,7.914851
250.2,7.908182
250.39998,7.901587
250.60002,7.895123
250.8,7.888472
250.99998,7.881859
251.20002,7.875377
251.4,7.868876
251.59998,7.862356
251.80002,7.855967
252,7.849597
252.19998,7.843152
252.40002,7.836763
252.6,7.830449
252.79998,7.824153
253.00002,7.817858
253.2,7.811563
253.39998,7.805287
253.60002,7.798973
253.8,7.792697
253.99998,7.786421
254.20002,7.780294
254.4,7.774241
254.59998,7.768357
254.80002,7.762453
255,7.756662
255.19998,7.751057
255.40002,7.745824
255.6,7.740704
255.79998,7.735415
256.00002,7.730053
256.2,7.724709
256.39998,7.719402
256.60002,7.714002
256.8,7.708882
