Time (s),Heat Flow (J/s)
135.19998,14.141921
135.40002,14.143601
135.6,14.145381
135.79998,14.147161
136.00002,14.14898
136.2,14.150819
136.39998,14.15258
136.60002,14.1543
136.8,14.156118
136.99998,14.157958
137.20002,14.159698
137.4,14.161417
137.59998,14.163119
137.80002,14.164819
138,14.166578
138.19998,14.168398
138.40002,14.170236
138.6,14.172015
138.79998,14.173815
139.00002,14.175653
139.2,14.177452
139.39998,14.179291
139.60002,14.181109
139.8,14.182908
139.99998,14.184747
140.20002,14.186565
140.4,14.188403
140.59998,14.190223
140.80002,14.192061
141,14.193918
141.19998,14.195758
141.40002,14.197576
141.6,14.199413
141.79998,14.201213
142.00002,14.203031
142.2,14.204849
142.39998,14.206688
142.60002,14.208525
142.8,14.210363
142.99998,14.212222
143.20002,14.214059
143.4,14.215877
143.59998,14.217654
143.80002,14.219434
144,14.221251
144.19998,14.223071
144.40002,14.224848
144.6,14.226666
144.79998,14.228485
145.00002,14.230322
145.2,14.232119
145.39998,14.233918
145.60002,14.235716
145.8,14.237533
145.99998,14.239332
146.20002,14.241109
146.4,14.242887
146.59998,14.244666
146.80002,14.246443
147,14.248161
147.19998,14.249901
147.40002,14.251619
147.6,14.253356
147.79998,14.255056
148.00002,14.256794
148.2,14.258531
148.39998,14.260289
148.60002,14.262068
148.8,14.263845
148.99998,14.265602
149.20002,14.267341
149.4,14.269059
149.59998,14.270776
149.80002,14.272495
150,14.274173
150.19998,14.275893
150.40002,14.277571
150.6,14.279248
150.79998,14.280908
151.00002,14.282566
151.2,14.284264
151.39998,14.285963
151.60002,14.287641
151.8,14.289318
151.99998,14.291037
152.20002,14.292754
152.4,14.294471
152.59998,14.29619
152.80002,14.297868
153,14.299565
153.19998,14.301205
153.40002,14.302842
153.6,14.304441
153.79998,14.306041
154.00002,14.307639
154.2,14.309237
154.39998,14.310837
154.60002,14.312435
154.8,14.314033
154.99998,14.315633
155.20002,14.317231
155.4,14.318868
155.59998,14.320468
155.80002,14.322106
156,14.323763
156.19998,14.325422
156.40002,14.32696
156.6,14.328518
156.79998,14.330079
157.00002,14.331617
157.2,14.333175
157.39998,14.334715
157.60002,14.336214
157.8,14.337752
157.99998,14.339273
158.20002,14.340791
158.4,14.342388
158.59998,14.343988
158.80002,14.345605
159,14.347242
159.19998,14.348901
159.40002,14.350577
159.6,14.352174
159.79998,14.353833
160.00002,14.355489
160.2,14.357106
160.39998,14.358706
160.60002,14.360303
160.8,14.361821
160.99998,14.363341
161.20002,14.364799
161.4,14.366317
161.59998,14.367857
161.80002,14.369335
162,14.370833
162.19998,14.372334
162.40002,14.373891
162.6,14.375389
162.79998,14.37683
163.00002,14.378268
163.2,14.379706
163.39998,14.381128
163.60002,14.382546
163.8,14.383925
163.99998,14.385287
164.20002,14.386666
164.4,14.388025
164.59998,14.389387
164.80002,14.390766
165,14.392125
165.19998,14.393506
165.40002,14.394885
165.6,14.396224
165.79998,14.397546
166.00002,14.398866
166.2,14.400185
166.39998,14.401487
166.60002,14.402767
166.8,14.404047
166.99998,14.405329
167.20002,14.406629
167.4,14.407928
167.59998,14.40921
167.80002,14.410549
168,14.411849
168.19998,14.413111
168.40002,14.414391
168.6,14.415631
168.79998,14.416893
169.00002,14.418113
169.2,14.419353
169.39998,14.420576
169.60002,14.421796
169.8,14.422977
169.99998,14.4242
170.20002,14.42538
170.4,14.42658
170.59998,14.427783
170.80002,14.428964
171,14.430144
171.19998,14.431308
171.40002,14.432508
171.6,14.433668
171.79998,14.434851
172.00002,14.436012
172.2,14.437153
172.39998,14.438277
172.60002,14.439417
172.8,14.440617
172.99998,14.4418
173.20002,14.443
173.4,14.4442
173.59998,14.445403
173.80002,14.446642
174,14.447842
174.19998,14.449045
174.40002,14.450264
174.6,14.451484
174.79998,14.452706
175.00002,14.453945
175.2,14.455204
175.39998,14.456486
175.60002,14.457745
175.8,14.459024
175.99998,14.460325
176.20002,14.461663
176.4,14.462941
176.59998,14.464121
176.80002,14.465304
177,14.466484
177.19998,14.467785
177.40002,14.469103
177.6,14.470401
177.79998,14.471544
178.00002,14.472704
178.2,14.473824
178.39998,14.474747
178.60002,14.475732
178.8,14.476556
178.99998,14.47734
179.20002,14.478246
179.4,14.47907
179.59998,14.479936
179.80002,14.480839
180,14.481722
180.19998,14.482667
180.40002,14.483629
180.6,14.484631
180.79998,14.485573
181.00002,14.486479
181.2,14.487401
181.39998,14.488386
181.60002,14.489368
181.8,14.490389
181.99998,14.491334
182.20002,14.492316
182.4,14.493297
182.59998,14.494321
182.80002,14.495362
183,14.496423
183.19998,14.497427
183.40002,14.498428
183.6,14.49943
183.79998,14.500411
184.00002,14.501455
184.2,14.502476
184.39998,14.5035
184.60002,14.504521
184.8,14.505522
184.99998,14.506526
185.20002,14.507488
185.4,14.508449
185.59998,14.509434
185.80002,14.510435
186,14.511416
186.19998,14.512401
186.40002,14.513362
186.6,14.514284
186.79998,14.515209
187.00002,14.516111
187.2,14.517033
187.39998,14.517958
187.60002,14.518841
187.8,14.519743
187.99998,14.520668
188.20002,14.52155
188.4,14.522393
188.59998,14.523275
188.80002,14.524121
189,14.524964
189.19998,14.52577
189.40002,14.526593
189.6,14.527397
189.79998,14.528223
190.00002,14.529046
190.2,14.529888
190.39998,14.530691
190.60002,14.531518
190.8,14.532301
190.99998,14.533147
191.20002,14.533989
191.4,14.534832
191.59998,14.535658
191.80002,14.536501
192,14.537363
192.19998,14.538189
192.40002,14.539031
192.6,14.539874
192.79998,14.54072
193.00002,14.541562
193.2,14.542385
193.39998,14.543227
193.60002,14.544073
193.8,14.544955
193.99998,14.5458
194.20002,14.546662
194.4,14.547485
194.59998,14.548331
194.80002,14.549173
195,14.550035
195.19998,14.55092
195.40002,14.551802
195.6,14.552703
195.79998,14.553569
196.00002,14.554431
196.2,14.555293
196.39998,14.556118
196.60002,14.556941
196.8,14.557763
196.99998,14.558589
197.20002,14.559411
197.4,14.560253
197.59998,14.561059
197.80002,14.561862
198,14.562665
198.19998,14.56349
