Time (s),Heat Flow (J/s)
170.59998,20.468878
170.80002,20.468712
171,20.468565
171.19998,20.468417
171.40002,20.468252
171.6,20.468068
171.79998,20.467885
172.00002,20.467755
172.2,20.46759
172.39998,20.467443
172.60002,20.467278
172.8,20.467113
172.99998,20.466948
173.20002,20.466782
173.4,20.466582
173.59998,20.466399
173.80002,20.466234
174,20.466105
174.19998,20.465958
174.40002,20.46583
174.6,20.465683
174.79998,20.465554
175.00002,20.465443
175.2,20.465315
175.39998,20.465205
175.60002,20.465076
175.8,20.464966
175.99998,20.464855
176.20002,20.464745
176.4,20.464653
176.59998,20.464543
176.80002,20.464397
177,20.464269
177.19998,20.464123
177.40002,20.463994
177.6,20.463885
177.79998,20.463739
178.00002,20.463629
178.2,20.463501
178.39998,20.463355
178.60002,20.46321
178.8,20.463082
178.99998,20.462919
179.20002,20.462773
179.4,20.46261
179.59998,20.462446
179.80002,20.462283
180,20.462084
180.19998,20.46192
180.40002,20.461721
180.6,20.46154
180.79998,20.461341
181.00002,20.461142
181.2,20.460925
181.39998,20.460726
181.60002,20.460509
181.8,20.460292
181.99998,20.460094
182.20002,20.459895
182.4,20.459696
182.59998,20.459498
182.80002,20.459317
183,20.459136
183.19998,20.458974
183.40002,20.458812
183.6,20.458631
183.79998,20.458433
184.00002,20.458253
184.2,20.458072
184.39998,20.457892
184.60002,20.457694
184.8,20.457496
184.99998,20.45728
185.20002,20.457082
185.4,20.456902
185.59998,20.456722
185.80002,20.456524
186,20.456345
186.19998,20.456183
186.40002,20.456003
186.6,20.455823
186.79998,20.455662
187.00002,20.455482
187.2,20.455339
187.39998,20.455177
187.60002,20.455016
187.8,20.454855
187.99998,20.454729
188.20002,20.454586
188.4,20.454461
188.59998,20.454318
188.80002,20.454211
189,20.454104
189.19998,20.453961
189.40002,20.453854
189.6,20.453747
189.79998,20.453676
190.00002,20.453623
190.2,20.453552
190.39998,20.453482
190.60002,20.453411
190.8,20.453358
190.99998,20.453288
191.20002,20.453217
191.4,20.453165
191.59998,20.453112
191.80002,20.45306
192,20.453025
192.19998,20.452973
192.40002,20.452903
192.6,20.452833
192.79998,20.452781
193.00002,20.452692
193.2,20.452623
193.39998,20.452553
193.60002,20.452429
193.8,20.452305
193.99998,20.452181
194.20002,20.452057
194.4,20.451951
194.59998,20.451846
194.80002,20.451722
195,20.451599
195.19998,20.451457
195.40002,20.451298
195.6,20.451192
195.79998,20.451123
196.00002,20.451035
196.2,20.45093
196.39998,20.450825
196.60002,20.450702
196.8,20.450543
196.99998,20.450402
197.20002,20.450261
197.4,20.450138
197.59998,20.450015
197.80002,20.449838
198,20.449661
198.19998,20.449503
198.40002,20.449362
198.6,20.449257
198.79998,20.449189
199.00002,20.44912
199.2,20.449069
199.39998,20.449001
199.60002,20.448968
199.8,20.448882
199.99998,20.448832
200.20002,20.448727
200.4,20.448587
200.59998,20.448465
200.80002,20.448397
201,20.448347
201.19998,20.448369
201.40002,20.448391
201.6,20.448395
201.79998,20.448381
202.00002,20.448403
202.2,20.448407
202.39998,20.44843
202.60002,20.44847
202.8,20.448456
202.99998,20.448443
203.20002,20.448393
203.4,20.448361
203.59998,20.448312
203.80002,20.448281
204,20.448213
204.19998,20.448164
204.40002,20.448061
204.6,20.447976
204.79998,20.447891
205.00002,20.447841
205.2,20.447756
205.39998,20.447636
205.60002,20.447533
205.8,20.447394
205.99998,20.447291
206.20002,20.447188
206.4,20.447049
206.59998,20.446929
206.80002,20.446826
207,20.446723
207.19998,20.446639
207.40002,20.446555
207.6,20.446488
207.79998,20.446422
208.00002,20.446356
208.2,20.446253
208.39998,20.446205
