Time     ,Unsubtracted Heat Flow
208.99998,19.745698
209.20002,19.745633
209.4,19.745535
209.59998,19.745405
209.80002,19.745274
210,19.74511
210.19998,19.74498
210.40002,19.744865
210.6,19.74485
210.79998,19.744818
211.00002,19.74477
211.2,19.744639
211.39998,19.744492
211.60002,19.744362
211.8,19.744198
211.99998,19.744018
212.20002,19.743855
212.4,19.743691
212.59998,19.743428
212.80002,19.743149
213,19.742887
213.19998,19.742624
213.40002,19.742378
213.6,19.742149
213.79998,19.741952
214.00002,19.741789
214.2,19.741642
214.39998,19.741511
214.60002,19.741365
214.8,19.741217
214.99998,19.741054
215.20002,19.740891
215.4,19.740744
215.59998,19.740597
215.80002,19.740417
216,19.740253
216.19998,19.740107
216.40002,19.739976
216.6,19.739862
216.79998,19.739699
217.00002,19.739552
217.2,19.739405
217.39998,19.739292
217.60002,19.739161
217.8,19.739047
217.99998,19.738917
218.20002,19.738787
218.4,19.738673
218.59998,19.738576
218.80002,19.738462
219,19.738332
219.19998,19.738218
219.40002,19.738104
219.6,19.737991
219.79998,19.737893
220.00002,19.73778
220.2,19.737682
220.39998,19.737569
220.60002,19.737455
220.8,19.737341
220.99998,19.737244
221.20002,19.737147
221.4,19.737067
221.59998,19.736953
221.80002,19.736889
222,19.736792
222.19998,19.736711
222.40002,19.736614
222.6,19.73655
222.79998,19.73647
223.00002,19.736373
223.2,19.736275
223.39998,19.736179
223.60002,19.736098
223.8,19.736034
223.99998,19.735937
224.20002,19.735857
224.4,19.735793
224.59998,19.735712
224.80002,19.735615
225,19.735535
225.19998,19.735421
225.40002,19.735325
225.6,19.735244
225.79998,19.735131
226.00002,19.735034
226.2,19.734954
226.39998,19.734857
226.60002,19.73476
226.8,19.73468
226.99998,19.734583
227.20002,19.734453
227.4,19.734356
227.59998,19.734226
227.80002,19.734097
228,19.73395
228.19998,19.733804
228.40002,19.733658
228.6,19.733495
228.79998,19.733349
229.00002,19.733236
229.2,19.733155
229.39998,19.733059
229.60002,19.732946
229.8,19.732866
229.99998,19.732785
230.20002,19.732738
230.4,19.732691
230.59998,19.732611
230.80002,19.732531
231,19.7325
231.19998,19.73242
231.40002,19.732373
231.6,19.732326
231.79998,19.732229
232.00002,19.732166
232.2,19.732086
232.39998,19.732039
232.60002,19.732008
232.8,19.731977
232.99998,19.731947
233.20002,19.7319
233.4,19.731837
233.59998,19.731757
233.80002,19.731693
234,19.731613
234.19998,19.731484
234.40002,19.731322
234.6,19.731159
234.79998,19.73098
235.00002,19.730801
235.2,19.730672
235.39998,19.730526
235.60002,19.730364
235.8,19.730185
235.99998,19.72994
236.20002,19.729695
236.4,19.729517
236.59998,19.729337
236.80002,19.729175
237,19.729063
237.19998,19.728917
237.40002,19.728787
237.6,19.728691
237.79998,19.728578
238.00002,19.728449
238.2,19.72832
238.39998,19.728224
238.60002,19.728111
238.8,19.727998
238.99998,19.727885
239.20002,19.72774
239.4,19.727611
239.59998,19.727481
239.80002,19.727369
240,19.727256
240.19998,19.727127
240.40002,19.726998
240.6,19.726902
240.79998,19.726822
241.00002,19.726759
241.2,19.72668
241.39998,19.726583
241.60002,19.726521
241.8,19.726474
241.99998,19.726427
242.20002,19.726397
242.4,19.726351
242.59998,19.726354
242.80002,19.72634
243,19.726327
243.19998,19.726297
243.40002,19.726218
243.6,19.726171
243.79998,19.726141
244.00002,19.726111
244.2,19.726065
244.39998,19.726068
244.60002,19.726055
244.8,19.726041
244.99998,19.726011
245.20002,19.725982
245.4,19.725951
245.59998,19.725922
245.80002,19.725892
246,19.725895
246.19998,19.725882
246.40002,19.725852
246.6,19.725839
246.79998,19.725826
247.00002,19.725829
247.2,19.725832
247.39998,19.725868
247.60002,19.725888
247.8,19.725925
247.99998,19.725944
