Wavelength (nm),10.0 ppm,5.00 ppm,1.00 ppm,unknown
708,0.002,0.001,0.000,0.002
709,0.002,0.001,0.000,0.002
710,0.002,0.001,0.000,0.001
711,0.002,0.001,0.000,0.001
712,0.002,0.001,0.000,0.001
713,0.002,0.001,0.000,0.001
714,0.002,0.001,0.000,0.001
715,0.002,0.001,0.000,0.001
716,0.001,0.001,0.000,0.001
717,0.002,0.001,0.000,0.001
718,0.002,0.001,0.000,0.001
719,0.001,0.001,0.000,0.001
720,0.001,0.001,0.000,0.001
721,0.001,0.001,0.000,0.001
722,0.001,0.001,0.000,0.001
723,0.001,0.001,0.000,0.001
724,0.001,0.001,0.000,0.001
725,0.001,0.001,0.000,0.001
726,0.001,0.001,0.000,0.001
727,0.001,0.001,0.000,0.001
728,0.001,0.001,0.000,0.001
729,0.001,0.001,0.000,0.001
730,0.001,0.001,0.000,0.001
731,0.001,0.001,0.000,0.001
732,0.001,0.001,0.000,0.001
733,0.001,0.001,0.000,0.001
734,0.001,0.001,0.000,0.001
735,0.001,0.001,0.000,0.001
736,0.001,0.001,0.000,0.001
737,0.001,0.001,0.000,0.001
738,0.001,0.001,0.000,0.001
739,0.001,0.001,0.000,0.001
740,0.001,0.001,0.000,0.001
741,0.001,0.001,0.000,0.001
742,0.001,0.001,0.000,0.001
743,0.001,0.001,0.000,0.001
744,0.001,0.001,0.000,0.001
745,0.001,0.001,0.000,0.001
746,0.001,0.001,0.000,0.001
747,0.001,0.001,0.000,0.001
748,0.001,0.001,0.000,0.001
749,0.001,0.001,0.000,0.001
750,0.001,0.000,0.000,0.001
