Path,File,Date Acquired,Sample,Misc
C:\Users\vvannost\Documents\,Pain01.d,9/28/2020 13:52,Mixture, 
TIC: Pain01.d\data.ms,,,,
9.716,66509,,,
9.721,61639,,,
9.727,61667,,,
9.732,61831,,,
9.738,52832,,,
9.743,62619,,,
9.749,52438,,,
9.754,55850,,,
9.76,63319,,,
9.765,61030,,,
9.771,54843,,,
9.777,57780,,,
9.782,61908,,,
9.787,64679,,,
9.793,54416,,,
9.799,55590,,,
9.804,56962,,,
9.809,55563,,,
9.815,57496,,,
9.821,58330,,,
9.826,60723,,,
9.832,58325,,,
9.837,63291,,,
9.843,56253,,,
9.848,58686,,,
9.854,60052,,,
9.859,54063,,,
9.865,58717,,,
9.87,55853,,,
9.876,58559,,,
9.881,61414,,,
9.887,54389,,,
9.892,56939,,,
9.898,57759,,,
9.903,57002,,,
9.909,59179,,,
9.914,66209,,,
9.92,64214,,,
9.925,78259,,,
9.931,107532,,,
9.936,113801,,,
9.942,143344,,,
9.947,170712,,,
9.953,174585,,,
9.958,184372,,,
9.964,198812,,,
9.969,220707,,,
9.975,201590,,,
9.98,188966,,,
9.986,178089,,,
9.991,178874,,,
9.997,162302,,,
10.002,155861,,,
10.008,173110,,,
10.013,160670,,,
10.019,161161,,,
10.024,147354,,,
10.03,154187,,,
10.035,158691,,,
10.041,152671,,,
10.046,137959,,,
10.052,139290,,,
10.057,132285,,,
10.063,137246,,,
10.068,125789,,,
10.074,122502,,,
10.079,108738,,,
10.085,115659,,,
10.09,100930,,,
10.096,92837,,,
10.101,90602,,,
10.107,83170,,,
10.112,73757,,,
10.118,71853,,,
10.123,70661,,,
10.129,72147,,,
10.134,69964,,,
10.14,70380,,,
10.145,63403,,,
10.151,62392,,,
10.156,63161,,,
10.162,60984,,,
10.167,61407,,,
10.173,61670,,,
10.178,60624,,,
10.184,61291,,,
10.189,60917,,,
10.195,62063,,,
10.2,60731,,,
10.206,55550,,,
10.211,58338,,,
10.217,53180,,,
10.222,60641,,,
10.228,54358,,,
10.233,63482,,,
10.239,59541,,,
10.244,58722,,,
10.25,61773,,,
10.255,58573,,,
10.261,58900,,,
10.266,50684,,,
10.272,61106,,,
10.277,55950,,,
10.283,58377,,,
10.288,59536,,,
10.294,57513,,,
10.299,61220,,,
10.305,56108,,,
10.31,57862,,,
10.316,59650,,,
10.321,63784,,,
10.327,57759,,,
10.332,55941,,,
10.338,58326,,,
10.343,58776,,,
10.349,56853,,,
10.354,63515,,,
10.36,62282,,,
10.365,59249,,,
10.371,63084,,,
10.376,67491,,,
10.382,61971,,,
10.387,63487,,,
10.393,64643,,,
10.398,60375,,,
10.404,64065,,,
10.409,70871,,,
10.415,62830,,,
10.42,59059,,,
10.426,60014,,,
10.431,56573,,,
10.437,63121,,,
10.442,63816,,,
10.448,63554,,,
10.453,61063,,,
10.459,64491,,,
10.464,62763,,,
10.47,60520,,,
10.475,66494,,,
10.481,65972,,,
10.486,65259,,,
10.492,66582,,,
10.497,61966,,,
10.503,67024,,,
10.508,62747,,,
10.514,66455,,,
10.519,64177,,,
10.525,68550,,,
10.53,62611,,,
10.536,64534,,,
10.541,60594,,,
10.547,67598,,,
10.552,69261,,,
10.558,69472,,,
10.563,65866,,,
10.569,68041,,,
10.574,71704,,,
10.58,67635,,,
10.585,83088,,,
10.591,66432,,,
10.596,69942,,,
10.602,72026,,,
10.607,71856,,,
10.613,64894,,,
10.618,66881,,,
10.624,65449,,,
10.629,71775,,,
10.635,68158,,,
10.64,70689,,,
10.646,72247,,,
10.651,66328,,,
10.657,68638,,,
10.662,70681,,,
10.668,67392,,,
10.673,74769,,,
10.679,67759,,,
10.684,67423,,,
10.69,74610,,,
10.695,64876,,,
10.701,73163,,,
10.706,72965,,,
10.712,61827,,,
10.717,72016,,,
10.723,70213,,,
10.728,74337,,,
10.734,68504,,,
10.739,69801,,,
10.745,71274,,,
10.75,67230,,,
10.756,73691,,,
10.761,75349,,,
10.767,72330,,,
10.772,75561,,,
10.778,70617,,,
10.783,67845,,,
10.789,68490,,,
10.794,73622,,,
10.8,68987,,,
10.805,69742,,,
10.811,70907,,,
10.816,74289,,,
10.822,67929,,,
10.827,67838,,,
10.833,71787,,,
10.838,75575,,,
10.844,72698,,,
10.849,73150,,,
10.855,74154,,,
10.86,72764,,,
10.866,75159,,,
10.871,74963,,,
10.877,73227,,,
10.882,78154,,,
10.888,76263,,,
10.893,78111,,,
10.899,77008,,,
10.904,78446,,,
10.91,76833,,,
10.915,77715,,,
10.921,75008,,,
10.926,67666,,,
10.932,71786,,,
10.937,69791,,,
10.943,72507,,,
10.948,76879,,,
10.954,79990,,,
10.959,68463,,,
10.965,69920,,,
10.97,72500,,,
10.976,74478,,,
10.981,64385,,,
10.987,70778,,,
10.992,71618,,,
10.998,81745,,,
11.003,74848,,,
11.009,67060,,,
11.014,74846,,,
11.02,73571,,,
11.025,84289,,,
11.031,79194,,,
11.036,79249,,,
11.042,71103,,,
11.047,72242,,,
11.053,66872,,,
11.058,77602,,,
11.064,74722,,,
11.069,81370,,,
11.075,78870,,,
11.081,69838,,,
11.086,81236,,,
11.092,82054,,,
11.097,75532,,,
11.103,77268,,,
11.108,75207,,,
11.114,81662,,,
11.119,85284,,,
11.125,78865,,,
11.13,81435,,,
11.136,81189,,,
11.141,77532,,,
11.147,84384,,,
11.152,81199,,,
11.158,81661,,,
11.163,73577,,,
11.169,74132,,,
11.174,79729,,,
11.18,76953,,,
11.185,77257,,,
11.191,81479,,,
11.196,72697,,,
11.202,76973,,,
11.207,75150,,,
11.213,85045,,,
11.218,76916,,,
11.224,75015,,,
11.229,80386,,,
11.235,76851,,,
11.24,83188,,,
11.246,73558,,,
11.251,90566,,,
11.257,81410,,,
11.262,84093,,,
11.268,73126,,,
11.273,71805,,,
11.279,75216,,,
11.284,74578,,,
11.29,81009,,,
11.295,72871,,,
11.301,70489,,,
11.306,72910,,,
11.312,70236,,,
